	5-MEF-Mock_S5_L001_R1_001	5-MEF-Mock_S5_L002_R1_001	6-MEF-10uM_S6_L001_R1_001	6-MEF-10uM_S6_L002_R1_001	7-MEF-5uM_S7_L001_R1_001	7-MEF-5uM_S7_L002_R1_001	8-MEF-UIFN_S8_L001_R1_001	8-MEF-UIFN_S8_L002_R1_001
1300017J02Rik	2.01082	3.03391	4.00009	5.03997	1	1.999998	1	1.999999
1500009C09Rik	0	0	0	0	0	0	0	0
1500009L16Rik	87	84	35	47	95	85	150	134
1500011B03Rik	208	205.4961	200.559	216	214.874	200.8535	237	266.73
1500011K16Rik	59	61	150	141	125	84	85	89
1500015O10Rik	1	1	1	1	4	1	0	1
1520401A03Rik	1.999999	3	1	1	1	1	0	0
1600002H07Rik	494.00004	492	634.06447	610.00027	477.00005	459.9994	580.00012	532.12098
1600002K03Rik	81	72	167	168	96	92	110	100
1600012H06Rik	592.11985	575.46117	500.251	418.36612	478.65932	495.96148	702.93108	686.11776
1600014C10Rik	184.9998	167.9995	237.9997	192.9997	172.99991	168.9998	195.9996	218.0002
1600014C23Rik	0	1	0	0	0	0	1	0
1600015I10Rik	0	0	0	0	0	0	0	0
1600029O15Rik	2.02958	2.00342	3.00233	1.01006	3.00061	3.003497	3.00271	8.01095
1700001C02Rik	0	0	0	0	0	0	0	0
1700001C19Rik	1	0	0	0	0	0	0	1
1700001F09Rik	0	0	0	0	2	0	0	0
1700001J03Rik	0	0	0	1	0	0	0	1
1700001J11Rik	49.99998	51.08	44.04647	38.03979	45.05853	49.00001	55.99995	64.07684
1700001K19Rik	6	10	3	4	4	19	11	10
1700001L19Rik	1	2	4	1	5	5	3	1
1700001O22Rik	6	5	4	3.999999	6	4	7.99999	5.999999
1700001P01Rik	0	6	3	1	1	2	1	0
1700003E16Rik	67	47	45	40	69	60	70	72
1700003F12Rik	12	11	6	9	13.00002	11	12	16.00003
1700003H04Rik	0	0	0	0	0	0	0	0
1700003N22Rik	0	1.05518	0	1.09965	0	0	2.2052	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0
1700007E05Rik	3.32009	2	2	1.42485	4	1	1.2061	4
1700007G11Rik	1	0	0	1	2	0	2	2
1700007K09Rik	0	0	3	0	2	0	1	0
1700007K13Rik	12	14	15	11	9	10	16.000002	12
1700008O03Rik	0	3.00543	3.95036	1	3.15607	0	3.04067	3.01621
1700008P02Rik	0	0	0	0	0	0	0	0
1700009N14Rik	0	1	0	3	2	0	1	2
1700010B08Rik	0	0	0	0	0	0	0	0
1700010I14Rik	16.00113	19.00285	22.0178	22.00555	14	12.0000137505	16	25
1700010N08Rik	0	0	0	0	0	0	0	0
1700011E24Rik	1	0	1	1	1	0	0	1
1700011H14Rik	0	0	0	0	0	0	0	0
1700011I03Rik	1	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	1	0	1	0	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012B07Rik	0	1	0	1	1	0	0	0
1700012B09Rik	0	1	0	1	0	1	1	1
1700012L04Rik	3	0	1	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013F07Rik	8	6	15	16.00003	7	5	2	4
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0
1700014D04Rik	0	1	0	0	1	0	0	0
1700015E13Rik	0	0	0	0	0	0	0	0
1700015F17Rik	4	2.999998	7.000005	4	1	2	2	3
1700015G11Rik	0	0	0	0	0	0	0	0
1700016C15Rik	5	4	1	0	3	3	4	1
1700016D06Rik	3.41194	2.57855	0	1.00021	7.00156	0	2.19618	5.00136
1700016H13Rik	0	0	0	2	0	0	0	0
1700016K19Rik	0	0	2	4	2	1	0	0
1700017B05Rik	1040	960	999	884	1055	887	1259	1158
1700017D01Rik	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0
1700018M17Rik	11.6087	10.4785	10.6749	9.85864	5.31054	4.47891	8.48024	13.6967
1700019A02Rik	1	0	1	0	0	0	0	1
1700019B03Rik	0	0	0	0	2	0	0	0
1700019D03Rik	0	0	3	3	3	4.000000104617	1	2
1700019M22Rik	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	1	1	0	0	1	1
1700020D05Rik	1	1	0	3	0	0	1	0
1700020L24Rik	11.20857	17.03015	22.16812	13.45759	5	6.79853	24.2889	19.93658
1700020N01Rik	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0
1700021F05Rik	315.99958	301	611.99984	555.00028	376	372.99957	398	376
1700021F07Rik	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0
1700022I11Rik	3.27679	5.21009	1	0	5.25848	7.78831	5.24435	3.9484
1700023F06Rik	10	10	7	7	7	8	11	10
1700024B05Rik	0	0	0	1.41813	0	0	2.000003	1
1700024G13Rik	0	0	0	0	0	0	0	0
1700024J04Rik	2.00148	5.00137	2.00099	1.00091	4.00492	4.00012	6.02609	2.00085
1700024P04Rik	0	0	0	0	0	0	0	0
1700024P16Rik	17	25	47	44	34	21	25	24
1700025B11Rik	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0
1700025G04Rik	953.0174	890.85588	1032.0386	980.05248	1004.02204	948.06034	1271.45851	1266.0476
1700028B04Rik	1.13429	0	0	1.005	1.00793	0.985693	0	0
1700028J19Rik	7	6	2	3	5	3	8	7
1700028K03Rik	0	0	0	0	0.0282303	0	2	3
1700028P14Rik	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	1	1	0	1	0
1700029H14Rik	1	0	0	0	0	0	0	0
1700029I15Rik	14	10	12	13	11	16.02986	24	21
1700029J07Rik	18.99999	18.0044	45.0666	33.00003	23.00081	18.00009	28.0118	24
1700029P11Rik	0	0	0	0	0	0	0	0
1700030C10Rik	3.03802	4	4	3	1.04742	4.30736	1.05589	2.12936
1700030J22Rik	47	49	55	43	67	45	80	75
1700030K09Rik	326.5408	308.1437	434.83437	416.44137	338.184897	307.915	414.1804	444.91236
1700031F05Rik	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0
1700034E13Rik	1	0	0	0	0	1	0	2
1700034I23Rik	0	0	0	0	1	0	0	0
1700034J05Rik	1	1	0	0	1	0	2	0
1700034O15Rik	0	0	0	0	0	0	0	0
1700037C18Rik	133.99437	136.44996	96.35031167	86.57057	121.47661	113.197683	175.587	180.97383
1700037H04Rik	944.9997	851.00048	1290.9995	1128.0006	1015.00026	954.99971	1104.00027	1050.9997
1700039E15Rik	0	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0
1700040L02Rik	0	1	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0
1700047I17Rik2	185.422	176.95	255.838	241.122	218.787	176.825	214.177	191.787
1700048O20Rik	33.6511	35.7631	61.8168	52.1181	40	53.8854	55.664	44.0583
1700049E17Rik1	0	0	0	0	0	0	0	0
1700049E17Rik2	1	0	0	0	0	0	0	0
1700049G17Rik	56.62467	67.03125	85.19193	69.03089	62.91342	53.996708	67.76772	76.72017
1700049L16Rik	0	0	0	0	0	0	0	0
1700056E22Rik	15	18.00003	11	5	14	11	15	20.99997
1700057G04Rik	1	3.000000116437	9	10	4	4	2	1
1700061G19Rik	2	1	3	2	1	0	2	3
1700063K16Rik	0	0	0	0	0	0	0	0
1700064H15Rik	0	1	0	0	0	0	0	0
1700065I16Rik	0	0	0	0	0	0	0	0
1700066B19Rik	3	1	0	0	0	3	0	1
1700066M21Rik	290.99985	303.99998	426.562	373.99954	303.00018	338.63177	376.99981	359.00049
1700067K01Rik	3	8	5	7	11	8	8.00001	7
1700067P10Rik	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	0	1	0
1700074P13Rik	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	0	1	0	1.00129
1700084M14Rik	0	0	0	0	0	1	0	1
1700086D15Rik	0	0	0	0	0	1	0	0
1700086L19Rik	1	0	0	0	0	1	0	0
1700088E04Rik	58.23899715805	70.13623	61.90835	45.4263	42.31161	61.75694	86.013703642	67.74729
1700091H14Rik	0	0	0	0	0	0	1.27087	0
1700092M07Rik	4	2	0	3	1	1.59628	3.44256	5
1700093K21Rik	0	0	0	0	0	0	0	1
1700102P08Rik	3	4	2	4	0	4	1	5
1700109H08Rik	18.2707	3.34558	21.067601	24.8801	15.14174	24.0004	17.7889	14.8607
1700110I07Rik	0	0	0	0	0	0	0	0
1700112E06Rik	11	6	1	2	6	7.99999	6	16
1700113H08Rik	0	0	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0	0	0
1700123I01Rik	0	0	0	0	0	0	0	1.180476
1700123K08Rik	0	0	2	0	0	0	1	0
1700123L14Rik	0	0	0	0	0	0	0	0
1700123O20Rik	651.974	672.068	818.461	818.612	641.544	669.894	873.991	783.357
1700125H20Rik	1	1	2	2	0	2	1	5
1700128F08Rik	11	10	12.4683	19	14.7598	8	15	11
1700129C05Rik	1	0	0	0	0	0	0	0
1810009A15Rik	600.48393	544.964255	615.679	527.44366	590.03892	509.10641	638.69175	656.67043
1810009J06Rik	0	0	0	0	0	0	0	0
1810010H24Rik	18.00003	25	20.00005	20.99998	17	22	40	30.99996
1810011H11Rik	0	0	0	0	0	0	0	0
1810011O10Rik	277	264	304	280	275	275	391	363
1810013L24Rik	1096	1129	1781	1715	1236	1213	1485	1455
1810018F18Rik	0	1	0	0	0	0	1	0
1810022K09Rik	654.58773	609.9995	783.0006	723.9995	692.9995	671.00056	799.9996	789.9999
1810024B03Rik	28	15	27	21	22	22	27	29
1810026J23Rik	1173	1148	1701	1648	1277	1272	1546	1394
1810030O07Rik	994.016	886.533	1141.3	1059.36	985.709	948.559	1351.01	1202.57
1810032O08Rik	154.27005	148.403015	785.8262291	699.56716	237.70333	234.51567	231.34887	225.13284
1810037I17Rik	1576	1394	1292	1248	1437	1371	1944	1826
1810041L15Rik	2.1032	0	0	1.0021	1.04763	1.09133	2.21573	2.00006
1810043G02Rik	420.40625	367.07991	471.66367	451.0338	381.00487	383.46732	537.64155	450.096406
1810043H04Rik	218	222	261.99978	232	202.99951	197.9997	245.99978	225.99944
1810046K07Rik	0	0	0	0	0	0	0	0
1810049J17Rik	103.562	88.6842	124.834	115.804	81.8296	78.5289	109.852	70.3367
1810055G02Rik	1159	1111	1474	1369	1175	1151	1447	1419
1810062G17Rik	23	11	8	10	9	9	18	15
1810065E05Rik	0	0	0	0	0	0	0	0
2010001K21Rik	0	0	0	0	0	0	0	0
2010003K11Rik	0	0	0	0	0	0	1	1
2010005H15Rik	0	0	0	0	0	0	0	0
2010010A06Rik	0	0	0	0	0	0	0	0
2010106E10Rik	0	0	0	0	0	0	0	0
2010107E04Rik	807	666	530	482	713	699	989	927
2010107G12Rik	4	0	4	4	1	4	8	4
2010107G23Rik	63.00004	46.000033409	48.407513	37.00001	49.081912	50.01423	59.88247	64.99996
2010109A12Rik	1	0	0	0	0	0	0	0
2010109I03Rik	16.817	5.82293	9.31344	8.2505	9.01145	10.157	19.4546	12.9569
2010111I01Rik	476	431.9995	466.99982	393.00011	467.00548	491.00053	612.00007	582
2010300C02Rik	6	7.000005	4	2	8	6	8	7
2010315B03Rik	85.51495	88.53129	104.64175	97.01474	74.70964	73.62332	103.56341	96.25553
2200002D01Rik	9.15493	10.02859	2	1	4	4.81642	8.9765	9.73406
2200002J24Rik	0	0	0	0	0	0	0	0
2210010C04Rik	4	1	7	6	4	5	5	1
2210011C24Rik	0	0	3	0	3	5.000001	4.999996	7
2210013O21Rik	551.9996	490.00023	485.00004	439.00038	551.00031	529.99975	712.99992	625.9998
2210016F16Rik	112	110.299	148	140	119	145.265	164	164
2210016L21Rik	802.9996	740.99997	984.99925	918.99908	713.99995	700.999925586	1002.99977	926.00016
2210017I01Rik	0	1.0185	1	1.22685	0	0	1.24599	1.31441
2210404O09Rik	142.84381	142.30695	259.5513	270.02471	133.27116	156.77276	199.60876	180.83195
2210407C18Rik	0	0	0	0	0	0	0	0
2210408I21Rik	110	111	117	114	131	95	142	151
2210409E12Rik	0	0	0	0	0	0	0	0
2210418O10Rik	322.81511	295.53025	346.58448	345.89691	327.287	311.34751	402.464	402.418
2300002M23Rik	0	0	0	1	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0
2300009A05Rik	98	92.30481	160.56784	196.2062	97.92731	105.35287	123.2172	112.92995
2310002L09Rik	0	0	0	0	0	0	0	0
2310003L06Rik	0	0	0	0	0	0	0	0
2310007B03Rik	0	1	1	0	0	0	2	1
2310009B15Rik	138.00033	158.78446	147.00028	132.0005	148.99977	155.99984	233.9998	171.00008
2310011J03Rik	857	745	979	956	861	773	1008	947
2310022A10Rik	418.51867	394.90143	608.6325753	602.661020802364	428.21994	391.32830617	535.144118522	506.666
2310022B05Rik	4463	4224	3112	3051	4087	3833	5945	5695
2310030G06Rik	13	15	8	5	10	13	18	18
2310033P09Rik	273.12	264.841	224.275	215.906	256.023	245.526	341.844	298.78
2310034C09Rik	0	0	0	0	0	0	0	0
2310034G01Rik	15	7	6	7	8	9	12	9
2310035C23Rik	538.194182	473.0408	469.082756	476.38736	515.12992	489.024	650.05564	630.12399
2310036O22Rik	2319	2112	2591	2358	2426	2276	2935	2820
2310039H08Rik	285	220	294	253	249	207	309	298
2310046K23Rik	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0	0	0
2310057M21Rik	234.08802	234.36926	325.57095	302.22528	262.12842	247.189781	311.45979	277.908
2310057N15Rik	0	0	0	0	0	0	0	0
2310061I04Rik	453.0004	399.0006454	945.9992	874.9997	520.99983	451.99991	527.00017	472.99972
2310061N02Rik	0	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0	0
2410002F23Rik	742.0006685873	659.000500031781	1573.00334010553	1497.0035884	850.00051532001	817.999561422	984.000567	873.999342960686
2410004B18Rik	438.0001	430.00001	408.00039	427.0002	466.9996	422.99988	546.99976	493.00026
2410004P03Rik	6.28222	6.34549	4.26156	4.2438676	5.01549	6.07159	8.05283	5.13723
2410015M20Rik	810	702	878	804	801	757	1010	922
2410016O06Rik	284	259	585	579	320	301	346	287
2410024N13Rik	0	0	1	0	0.754773	0	0.509659	1
2410089E03Rik	2185.16668	2195.98235	3034.08859	2877.25931	2249.5529	2162.5483	2793.35864	2752.65206
2410131K14Rik	617.46	597.696	1487.46	1392.54	765.386	709.013	780.49	763.064
2410137M14Rik	0	0	0	0	0	0	0	1
2410141K09Rik	5.033695	8.06799	12.0598	12.13207	3.01765	8.0573	9.09171	15.15505
2510002D24Rik	199.99992	181.75287	238.29767	234.92129	230.9952	204.17738	264.9338	237.43515
2510009E07Rik	190	224	139	154	224	168	275	293
2510039O18Rik	1381	1349	1544	1478	1381	1312	1767	1673
2610001J05Rik	952.99986	962.0006	889.0001	883.0003	1000.0003	915.0007	1282.0002	1205.0006
2610002M06Rik	589.9998	594	671.0003	672.5243	625.9998	579.9998	825.0004	705.0003
2610005L07Rik	1128.582	1072.82	1856.694	1693.094	1210.586	1158.824	1541.726	1462.271
2610008E11Rik	682	651	567	552	646	537	904	775
2610020H08Rik	83.0000373	76.00698039	73.0494037	86.9999881	87.0556204	81.0000454	96.01094	92.0000933
2610021A01Rik	140.51625	147.12724	337.18703	299.838	193.355814762	164.2905	191.87665631524	212.80199
2610024D14Rik	0	0	0	0	0	0	0	0
2610028H24Rik	0	2.33217	0	0	0	1.25469	0	0
2610042L04Rik	0	0	0	2.41191	0	0	0	0
2610044O15Rik8	594.89421	512.49367	778.54706	733.9848	569.3994	506.7968	756.1764	705.5098
2610301B20Rik	350.9997	285	722.9997	679	389	413	445	414.00028
2610305D13Rik	12.5711500142699	21.1671600316338	16.2559800130801	21.294402	6.5417600161216	19.962440480419	13.1232600376665	11.7089700115239
2610318N02Rik	61.00003	49	44	41	64.99998	48.00002	60	60
2610507B11Rik	6365.99619	6023.00306	7509.00457	7078.00112	6465.00122	6112.00149	8425.99583	8142.9976
2610524H06Rik	312.886	331.89	247.936	252.96	317.905	304.931	428.867	398.866
2610528A11Rik	11	15	1	2	5	2	13.99997	13
2610528J11Rik	0	0	0	0	0	0	0	0
2700029M09Rik	944.9996	942.0002	1301.9996	1197.99985	1124.00006	1014.00031	1292.0005	1257.99924
2700049A03Rik	572.9997	502.9996	467.00018	439.0006	497.00013	469.0001	705	651.99993
2700060E02Rik	1492.55	1388.81	2013.39	1875.1	1564.63	1498.27	1904.25	1849.9
2700062C07Rik	135	119	220	197	146	128	146	163
2700081O15Rik	998.000240111767	977.9996	1189.0015	1154.0036	916.9997	896	1171.9952	1109.9999
2700094K13Rik	1765.99939	1613.99905	1599.00412	1549.00419	1835.00246	1762.9979	2141.99718	2111.00112
2700097O09Rik	84.75822	95.18619	128.20881	103.27963	89.16244	96.0002	125.85046	116.8803
2700099C18Rik	219.15216	193.00014	179.42059	156.4667	175.16247	160.12994	230.4271	204.0002
2810004N23Rik	577	557	1303	1213	727	653	775	757
2810006K23Rik	340.8182	313.84583	423.60194	391.9159	346.95334	327.09799	441.3991	412.35945
2810021J22Rik	95.3493	95.39909	132.03918	158.219	115.54459	99.164362	109.95163	132.44432
2810025M15Rik	446.00019	476.7551	603.2781	557.00004	520.00042	468.0001	606.8705	632.0004
2810039B14Rik	70.41828	48.090726	86.56404	83.57606	62.77302	54.43651	71.108598	65.556009
2810047C21Rik1	0	0	5.53672	2	0	0	2.96671	0
2810403A07Rik	1055.00043	1008.02332	1415.1049	1351.1951	1130.07653	1052.074827	1499.37322	1373.05336
2810408A11Rik	65.99994	61.000007	41.00001	47.00001	47.9999	39.000029	69.99998	71.00009123499
2810417H13Rik	4264.2793	4081.3257	2500.5981	2349.6677	3759.2246	3588.46123	5465.63785	5235.8631
2810428I15Rik	1051.9996	1038.998616	833.99936	714.99981	1044.00077	1043.99964	1369	1330.9996
2810459M11Rik	0	0	0	0	0	0	0	0
2810474O19Rik	2349.97702	2217.7212	2501.45140488858	2488.65451	2156.88497	2057.15378	3220.2626	3053.6404
2900011O08Rik	10.999961	8	11	2	8.000002	8.99999	15.00003	22.00003
2900026A02Rik	1069.037	991.004	898.123	823.096	1050.516	956.541	1387.879	1360.18
2900055J20Rik	0	0	0	0	0	0	0	0
2900092C05Rik	1	0	1	1	0	0	1	0
3000002C10Rik	18.09353	33.627	33.13342	31.7527	44.54111	26.43718	36.72354	54.28983
3010026O09Rik	100.5637	107.362	80.54093	77.3654	99.90048	96.7027	133.131	114.405
3100002H09Rik	0	0	0	0	0	0	0	0
3110001I22Rik	54	34	55	47	62	47	55	48
3110002H16Rik	629.91445	608.52866	1154.94862	1046.61208	791.09864	754.77923	767.18762	796.10839
3110009E18Rik	75.00005	83.99996	123.99996	100.00002	76.04879	104.99999	103.999948752	81.18919
3110018I06Rik	0	0	0	0	0	0	0	0
3110021N24Rik	2.81051	5.10099	2.8076	2.73808	2.84386	1.34312	1.41463	4.07714
3110035E14Rik	2	0	0	0	1	0	2	1
3110040N11Rik	164.99993	132	142	111.0001	146.9999	165.0001	190.0001	187.00003
3110043O21Rik	241.999883262	245.99977	605.00042	578.00006	289.00028	280.99999	303.99949	324.99983
3110052M02Rik	60	58.7131	70	69	54	42	70	56.7791
3110053B16Rik	33.87623	44.91822	54.69747	45.817	45.79967	36.583520115238	50.70895	48.83231
3110062M04Rik	178.19484	180.99997	155.75538	145.61127	194.72576	188.999988	237.68035	216.8067
3110067C02Rik	4	1.00058	2.00071	4.00148	2.00104	2.0021	2.00177	5.00674
3110070M22Rik	9.69741	11.5396	1.11889	6.51104	11.5003	6.17851	13.4304	12.8952
3110079O15Rik	0	0	0	0	0	0	0	0
3110082I17Rik	470.01817	468.0228	988.20963	983.02708	588.03366	553.0225	566.58913	628.08277
3110082J24Rik	1	1	2	2.11725	1	0	2	2.000001
3300002I08Rik	11.42803	16.63718	13.71904	23.77267	17.06408	22.0379	33.00763	27.69705
3425401B19Rik	0	0	0	0	0	0	0	0
3632451O06Rik	0	0	0	0	0	0	0	0
3830403N18Rik	0	0	1	0	0	0	0	0
3830406C13Rik	305.0005	286.9998	192.0004	189.99978	237.0002	252.00042	375.9995	351
3830408C21Rik	5	7	11	2	4	7	13	10
3830417A13Rik	0	0	0	0	0	0	0	0
4430402I18Rik	13.00003	7.9999995	5	10.999999	4	6.000003	8.99999752735	4.99999992415
4833418N17Rik	0	0	0	0	0	0	0	0
4833420G17Rik	577	526	702	640	539	521	689	651
4833423E24Rik	0	0	0	0	0	0	0	0
4833427G06Rik	13	14	16	24	12	8	22	17
4833439L19Rik	1911.47507347	1824.62337	2443.80188	2293.08574	1991.7908	1913.65592	2413.59828	2413.19492
4921501E09Rik	0	0	0	0	0	0	0	0
4921504E06Rik	0	0	0	0	0	0	0	0
4921507P07Rik	3	1	6	3	2	2	3	3
4921508M14Rik	0	0	0	0	0	0	0	0
4921509C19Rik	0	0	0	0	0	0	0	0
4921511C20Rik	0	0	0	0	0	0	0	0
4921511H03Rik	0	0	0	0	0	0	0	0
4921511M17Rik	0.5	0.666667	0	0	1	0.5	1	3.12777
4921513D11Rik	1	0	1	2	2	1	0	3
4921513I03Rik	2.0028	0	1.00127	2	5	1	1.00108	1.0023
4921517D22Rik	0	0	0	1.00004	1	0	0	0
4921524J17Rik	293.0004	320.00025	487.9997	465.0004	373.9995	335.0004	400.0004	408.9998
4921524L21Rik	0	0	5	3	0	0	0	1
4921528I07Rik	0	0	0	0	0	0	0	0
4921530L21Rik	0	0	0	0	0	0	0	0
4921536K21Rik	21	19	66	48	24	28	17	31
4921539E11Rik	0	0	0	0	0	0	0	0
4922502D21Rik	0	0	0	0	0	0	0	0
4930402F06Rik	0	0	1	0	0	0	0	0
4930402H24Rik	897.36441	896.20392	1026.715841	996.01661	898.80201733	869.123966	1190.53846	1195.37494
4930402K13Rik	0	0	0	0	0	0	0	0
4930404H24Rik	0	0	0	1	0	0	0	0
4930404N11Rik	5.58664	7.35664	5.77513	9.23536	4.88004	6.62129	11.0394	5.89889
4930407I10Rik	0	0	0	0	0	1	0	0
4930408O17Rik	0	0	0	0	0	0	0	0
4930412O13Rik	0	0	0	0	0	0	0	0
4930415F15Rik	5	2	0	4	7	5	3	1
4930415H17Rik	0	0	0	0	0	0	0	0
4930415L06Rik	0	0	0	0	0	0	0	0
4930415O20Rik	3	2	3	3	2	4	3	3
4930421P07Rik	0	0	0	0	0	0	0	0
4930426L09Rik	6	8	12	3	11	11	14	10
4930427A07Rik	693.7269	678.40272	584.36745	572.79000866	659.00946	614.0053	871.05366	834.27943
4930430A15Rik	0	0	0	0	0	0	0	0
4930430F08Rik	283.265	294.883	324.857	298.098	281.882	268.526	347.497	365.593
4930431P19Rik	4.14933	8.44737	4.16922	5.12084	6.12037	9.27958	9	8.40144
4930432E11Rik	0	0	0	0	0	0	0	0
4930432K21Rik	42.99999	53.99996	75.000006	79	61	66	78	67
4930432M17Rik	0	0	0	0	0	0	0	0
4930433I11Rik	0	0	0	0	0	0	0	0
4930435E12Rik	0	0	0	0	0	0	0	0
4930438A08Rik	0	0	0	4	0	0	0	0
4930442H23Rik	2	0	2	1	1	2	4	5
4930444G20Rik	0	0	1	0	0	0	0	1
4930444P10Rik	5.01804	3	0	2	3.00064	5	2.00067	3.00175
4930447A16Rik	0	0	0	0	0	0	0	0
4930447C04Rik	0	1	1	0	0	0	1	1
4930447F04Rik	0	0	0	0	0	0	0	0
4930448K20Rik	0	0	0	0	0	0	0	0
4930449A18Rik	0	0	0	0	0	0	0	0
4930449I24Rik	0	0	0	0	0	0	0	0
4930451G09Rik	16	16	17	18	16	13	26	16
4930451I11Rik	0	0	0	0	0	0	0	0
4930452B06Rik	93	122	145	137	116	133	172	140
